Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","012","Algeria","5312","Area harvested","01312","Bananas","2020","2020","ha","10","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01312","Bananas","2020","2020","hg/ha","235000","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5510","Production","01312","Bananas","2020","2020","tonnes","235","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5312","Area harvested","01312","Bananas","2020","2020","ha","157561","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5419","Yield","01312","Bananas","2020","2020","hg/ha","261170","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5510","Production","01312","Bananas","2020","2020","tonnes","4115028","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5312","Area harvested","01312","Bananas","2020","2020","ha","11","A","Official figure"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5419","Yield","01312","Bananas","2020","2020","hg/ha","4545","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5510","Production","01312","Bananas","2020","2020","tonnes","5","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01312","Bananas","2020","2020","ha","8415","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5419","Yield","01312","Bananas","2020","2020","hg/ha","209668","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5510","Production","01312","Bananas","2020","2020","tonnes","176436","I","Imputed value"
"QCL","Crops and livestock products","036","Australia","5312","Area harvested","01312","Bananas","2020","2020","ha","12254","A","Official figure"
"QCL","Crops and livestock products","036","Australia","5419","Yield","01312","Bananas","2020","2020","hg/ha","303928","E","Estimated value"
"QCL","Crops and livestock products","036","Australia","5510","Production","01312","Bananas","2020","2020","tonnes","372433","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","01312","Bananas","2020","2020","ha","0","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","01312","Bananas","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","044","Bahamas","5312","Area harvested","01312","Bananas","2020","2020","ha","437","I","Imputed value"
"QCL","Crops and livestock products","044","Bahamas","5419","Yield","01312","Bananas","2020","2020","hg/ha","227185","E","Estimated value"
